date,value
1986-01-01,52.25
1987-01-01,60.6
1988-01-01,70.49
1989-01-01,71.22
1990-01-01,78.64
1991-01-01,77.82
1992-01-01,82.28
1993-01-01,79.88
1994-01-01,79.1
1995-01-01,78.79
1996-01-01,82.1
1997-01-01,86.06
1998-01-01,89.08
1999-01-01,92.29
2000-01-01,100.0
2001-01-01,105.72
2002-01-01,114.71
2003-01-01,119.87
2004-01-01,138.2
2005-01-01,172.02
2006-01-01,190.17
2007-01-01,194.35
2008-01-01,189.12
2009-01-01,166.93
2010-01-01,148.02
2011-01-01,133.51
2012-01-01,131.0
2013-01-01,131.89
2014-01-01,125.76
2015-01-01,131.59
2016-01-01,132.86
2017-01-01,140.32
2018-01-01,144.24
2019-01-01,153.51
2020-01-01,155.64
2021-01-01,177.45
2022-01-01,204.29
2023-01-01,215.48
2024-01-01,244.17
