date,value
1970-01-01,29.405
1971-01-01,30.1
1972-01-01,29.6
1973-01-01,29.8
1974-01-01,29.9
1975-01-01,30.2
1976-01-01,30.7
1977-01-01,31.4
1978-01-01,31.3
1979-01-01,31.1
1980-01-01,30.623
1981-01-01,30.238
1982-01-01,30.194
1983-01-01,29.841
1984-01-01,29.755
1985-01-01,29.855
1986-01-01,29.852
1987-01-01,29.882
1988-01-01,30.134
1989-01-01,30.276
1990-01-01,30.282
1991-01-01,30.291
1992-01-01,30.522
1993-01-01,30.706
1994-01-01,30.716
1995-01-01,30.538
1996-01-01,30.733
1997-01-01,30.816
1998-01-01,30.607
1999-01-01,30.783
2000-01-01,30.577
2001-01-01,30.588
2002-01-01,30.415
2003-01-01,30.459
2004-01-01,30.851
2005-01-01,31.119
2006-01-01,31.303
2007-01-01,31.75
2008-01-01,31.992
2009-01-01,31.944
2010-01-01,32.689
2011-01-01,32.702
2012-01-01,32.483
2013-01-01,32.563
2014-01-01,32.502
2015-01-01,32.431
2016-01-01,32.268
2017-01-01,32.093
2018-01-01,31.894
2019-01-01,31.864
2020-01-01,32.523
2021-01-01,32.59
2022-01-01,32.599
2023-01-01,32.922
2024-01-01,33.138
