date,value
1992-01-01,91.24
1993-01-01,90.5
1994-01-01,88.11
1995-01-01,80.72
1996-01-01,87.47
1997-01-01,90.2
1998-01-01,93.64
1999-01-01,94.36
2000-01-01,100.0
2001-01-01,108.19
2002-01-01,115.17
2003-01-01,124.73
2004-01-01,141.23
2005-01-01,161.15
2006-01-01,178.4
2007-01-01,189.44
2008-01-01,192.14
2009-01-01,183.22
2010-01-01,168.82
2011-01-01,167.52
2012-01-01,164.32
2013-01-01,160.48
2014-01-01,154.78
2015-01-01,155.2
2016-01-01,159.65
2017-01-01,158.78
2018-01-01,169.46
2019-01-01,172.34
2020-01-01,177.8
2021-01-01,202.9
2022-01-01,238.31
2023-01-01,249.94
2024-01-01,280.82
