date,value
1989-01-01,16.0
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,15.8
1994-01-01,
1995-01-01,15.8
1996-01-01,
1997-01-01,15.8
1998-01-01,15.2
1999-01-01,13.3
2000-01-01,13.3
2001-01-01,12.2
2002-01-01,12.3
2003-01-01,12.5
2004-01-01,12.7
2005-01-01,13.8
2006-01-01,11.7
2007-01-01,12.9
2008-01-01,15.0
2009-01-01,12.6
2010-01-01,15.1
2011-01-01,12.0
2012-01-01,14.5
2013-01-01,15.9
2014-01-01,12.4
2015-01-01,13.6
2016-01-01,12.8
2017-01-01,11.8
2018-01-01,12.2
2019-01-01,12.8
2020-01-01,12.8
2021-01-01,11.0
2022-01-01,15.1
2023-01-01,10.8
