date,value
1990-01-01,384.0
1991-01-01,263.0
1992-01-01,270.0
1993-01-01,252.0
1994-01-01,258.0
1995-01-01,275.0
1996-01-01,222.0
1997-01-01,295.0
1998-01-01,211.0
1999-01-01,239.0
2000-01-01,253.0
2001-01-01,286.0
2002-01-01,333.0
2003-01-01,334.0
2004-01-01,355.0
2005-01-01,334.0
2006-01-01,287.0
2007-01-01,256.0
2008-01-01,184.0
2009-01-01,159.0
2010-01-01,95.0
2011-01-01,93.0
2012-01-01,114.0
2013-01-01,68.0
2014-01-01,85.0
2015-01-01,224.0
2016-01-01,43.0
2017-01-01,67.0
2018-01-01,92.0
2019-01-01,107.0
2020-01-01,118.0
2021-01-01,153.0
2022-01-01,181.0
2023-01-01,155.0
2024-01-01,122.0
