date,value
1975-01-01,29.32
1976-01-01,31.65
1977-01-01,32.9
1978-01-01,38.53
1979-01-01,40.87
1980-01-01,44.75
1981-01-01,47.06
1982-01-01,47.01
1983-01-01,49.61
1984-01-01,51.8
1985-01-01,55.35
1986-01-01,59.32
1987-01-01,65.57
1988-01-01,73.04
1989-01-01,76.61
1990-01-01,79.1
1991-01-01,81.21
1992-01-01,82.83
1993-01-01,84.22
1994-01-01,85.65
1995-01-01,87.79
1996-01-01,89.15
1997-01-01,91.77
1998-01-01,93.75
1999-01-01,96.08
2000-01-01,100.0
2001-01-01,105.7
2002-01-01,112.77
2003-01-01,120.26
2004-01-01,141.32
2005-01-01,170.03
2006-01-01,188.47
2007-01-01,193.21
2008-01-01,184.83
2009-01-01,169.72
2010-01-01,161.57
2011-01-01,156.13
2012-01-01,153.31
2013-01-01,153.32
2014-01-01,156.54
2015-01-01,158.91
2016-01-01,162.75
2017-01-01,164.36
2018-01-01,170.44
2019-01-01,175.77
2020-01-01,181.49
2021-01-01,197.66
2022-01-01,223.49
2023-01-01,242.33
2024-01-01,253.35
