date,value
1990-01-01,2546.0
1991-01-01,2113.0
1992-01-01,2633.0
1993-01-01,1711.0
1994-01-01,1828.0
1995-01-01,1597.0
1996-01-01,1872.0
1997-01-01,1656.0
1998-01-01,1732.0
1999-01-01,2046.0
2000-01-01,1702.0
2001-01-01,1844.0
2002-01-01,1883.0
2003-01-01,1976.0
2004-01-01,1836.0
2005-01-01,2659.0
2006-01-01,1344.0
2007-01-01,993.0
2008-01-01,636.0
2009-01-01,773.0
2010-01-01,771.0
2011-01-01,801.0
2012-01-01,751.0
2013-01-01,926.0
2014-01-01,860.0
2015-01-01,923.0
2016-01-01,847.0
2017-01-01,886.0
2018-01-01,863.0
2019-01-01,930.0
2020-01-01,1198.0
2021-01-01,902.0
2022-01-01,1406.0
2023-01-01,1410.0
2024-01-01,803.0
