date,value
1975-01-01,27.33
1976-01-01,30.55
1977-01-01,32.12
1978-01-01,36.35
1979-01-01,41.09
1980-01-01,44.36
1981-01-01,47.62
1982-01-01,44.58
1983-01-01,50.08
1984-01-01,53.29
1985-01-01,55.93
1986-01-01,59.78
1987-01-01,64.95
1988-01-01,73.02
1989-01-01,80.2
1990-01-01,84.34
1991-01-01,85.75
1992-01-01,86.4
1993-01-01,86.25
1994-01-01,86.36
1995-01-01,86.53
1996-01-01,87.9
1997-01-01,88.53
1998-01-01,90.4
1999-01-01,93.05
2000-01-01,100.0
2001-01-01,108.5
2002-01-01,120.62
2003-01-01,130.62
2004-01-01,155.56
2005-01-01,191.04
2006-01-01,209.15
2007-01-01,208.43
2008-01-01,197.49
2009-01-01,181.56
2010-01-01,176.54
2011-01-01,171.86
2012-01-01,171.18
2013-01-01,175.38
2014-01-01,180.54
2015-01-01,182.08
2016-01-01,185.22
2017-01-01,188.96
2018-01-01,192.33
2019-01-01,195.99
2020-01-01,199.17
2021-01-01,214.0
2022-01-01,238.91
2023-01-01,256.92
2024-01-01,273.87
