date,value
1990-01-01,1303.0
1991-01-01,1772.0
1992-01-01,2603.0
1993-01-01,1861.0
1994-01-01,1966.0
1995-01-01,1799.0
1996-01-01,1726.0
1997-01-01,2156.0
1998-01-01,2205.0
1999-01-01,2295.0
2000-01-01,2182.0
2001-01-01,1327.0
2002-01-01,1547.0
2003-01-01,1479.0
2004-01-01,1837.0
2005-01-01,1778.0
2006-01-01,1567.0
2007-01-01,1388.0
2008-01-01,947.0
2009-01-01,1473.0
2010-01-01,1151.0
2011-01-01,1177.0
2012-01-01,1686.0
2013-01-01,2267.0
2014-01-01,1446.0
2015-01-01,1593.0
2016-01-01,2154.0
2017-01-01,1219.0
2018-01-01,2046.0
2019-01-01,779.0
2020-01-01,1062.0
2021-01-01,1735.0
2022-01-01,571.0
2023-01-01,798.0
2024-01-01,881.0
