date,value
1991-01-01,81.43
1992-01-01,88.05
1993-01-01,87.4
1994-01-01,87.14
1995-01-01,86.25
1996-01-01,85.34
1997-01-01,90.19
1998-01-01,93.46
1999-01-01,95.63
2000-01-01,100.0
2001-01-01,109.23
2002-01-01,118.12
2003-01-01,125.13
2004-01-01,148.17
2005-01-01,179.51
2006-01-01,199.59
2007-01-01,202.6
2008-01-01,195.6
2009-01-01,180.28
2010-01-01,163.36
2011-01-01,158.58
2012-01-01,156.86
2013-01-01,152.08
2014-01-01,145.9
2015-01-01,144.51
2016-01-01,148.74
2017-01-01,156.44
2018-01-01,160.43
2019-01-01,167.13
2020-01-01,174.11
2021-01-01,188.12
2022-01-01,220.22
2023-01-01,240.67
2024-01-01,258.73
