date,value
1975-01-01,24.47
1976-01-01,26.73
1977-01-01,28.93
1978-01-01,33.63
1979-01-01,39.16
1980-01-01,43.67
1981-01-01,47.85
1982-01-01,45.43
1983-01-01,46.87
1984-01-01,49.95
1985-01-01,52.38
1986-01-01,55.69
1987-01-01,61.6
1988-01-01,73.76
1989-01-01,84.63
1990-01-01,86.73
1991-01-01,86.65
1992-01-01,87.02
1993-01-01,86.78
1994-01-01,86.1
1995-01-01,85.33
1996-01-01,85.57
1997-01-01,85.65
1998-01-01,87.58
1999-01-01,90.86
2000-01-01,100.0
2001-01-01,111.68
2002-01-01,126.55
2003-01-01,137.39
2004-01-01,160.47
2005-01-01,198.25
2006-01-01,218.34
2007-01-01,214.89
2008-01-01,197.41
2009-01-01,180.68
2010-01-01,178.33
2011-01-01,175.51
2012-01-01,174.76
2013-01-01,180.54
2014-01-01,187.62
2015-01-01,189.51
2016-01-01,194.25
2017-01-01,199.11
2018-01-01,203.53
2019-01-01,208.09
2020-01-01,210.98
2021-01-01,229.28
2022-01-01,252.84
2023-01-01,267.11
2024-01-01,282.0
