date,value
1989-01-01,4.3
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,6.0
1994-01-01,
1995-01-01,5.4
1996-01-01,
1997-01-01,5.6
1998-01-01,5.3
1999-01-01,5.3
2000-01-01,5.1
2001-01-01,5.1
2002-01-01,5.6
2003-01-01,6.4
2004-01-01,6.5
2005-01-01,4.8
2006-01-01,4.8
2007-01-01,5.1
2008-01-01,5.8
2009-01-01,6.7
2010-01-01,7.5
2011-01-01,6.7
2012-01-01,6.6
2013-01-01,7.0
2014-01-01,7.2
2015-01-01,7.5
2016-01-01,6.9
2017-01-01,7.0
2018-01-01,6.9
2019-01-01,7.3
2020-01-01,6.7
2021-01-01,8.5
2022-01-01,7.9
2023-01-01,7.2
