date,value
1990-01-01,5077.0
1991-01-01,3276.0
1992-01-01,3485.0
1993-01-01,3141.0
1994-01-01,3590.0
1995-01-01,3682.0
1996-01-01,3062.0
1997-01-01,3682.0
1998-01-01,5315.0
1999-01-01,4253.0
2000-01-01,4950.0
2001-01-01,5249.0
2002-01-01,5013.0
2003-01-01,4428.0
2004-01-01,3821.0
2005-01-01,3591.0
2006-01-01,3031.0
2007-01-01,3459.0
2008-01-01,1476.0
2009-01-01,862.0
2010-01-01,1899.0
2011-01-01,2512.0
2012-01-01,3981.0
2013-01-01,3514.0
2014-01-01,3839.0
2015-01-01,2080.0
2016-01-01,2170.0
2017-01-01,1637.0
2018-01-01,1947.0
2019-01-01,3225.0
2020-01-01,1486.0
2021-01-01,1857.0
2022-01-01,724.0
2023-01-01,2860.0
2024-01-01,3656.0
