date,value
2001-01-01,60810575.0
2002-01-01,63261827.0
2003-01-01,65698371.0
2004-01-01,70286680.0
2005-01-01,74465491.0
2006-01-01,73866090.0
2007-01-01,73994879.0
2008-01-01,77238863.0
2009-01-01,77742817.0
2010-01-01,82901847.0
2011-01-01,86372921.0
2012-01-01,86032006.0
2013-01-01,84517485.0
2014-01-01,84943355.0
2015-01-01,87922603.0
2016-01-01,91235588.0
2017-01-01,93542842.0
2018-01-01,93381475.0
2019-01-01,91925582.0
2020-01-01,88909025.0
2021-01-01,92408031.0
2022-01-01,93795117.0
2023-01-01,95022737.0
