date,value
2001-01-01,35383590.0
2002-01-01,36764523.0
2003-01-01,37661563.0
2004-01-01,39250159.0
2005-01-01,40371083.0
2006-01-01,40295606.0
2007-01-01,40257573.0
2008-01-01,41201848.0
2009-01-01,40262607.0
2010-01-01,41767584.0
2011-01-01,41673479.0
2012-01-01,41768313.0
2013-01-01,41968268.0
2014-01-01,42783539.0
2015-01-01,43139763.0
2016-01-01,44385145.0
2017-01-01,44874740.0
2018-01-01,46019288.0
2019-01-01,46427928.0
2020-01-01,44491617.0
2021-01-01,46521649.0
2022-01-01,47945585.0
2023-01-01,48649645.0
