date,value
1985-01-01,46.86
1986-01-01,50.5
1987-01-01,57.49
1988-01-01,69.29
1989-01-01,75.04
1990-01-01,78.89
1991-01-01,77.72
1992-01-01,79.03
1993-01-01,79.62
1994-01-01,80.56
1995-01-01,80.06
1996-01-01,84.49
1997-01-01,86.33
1998-01-01,88.59
1999-01-01,92.29
2000-01-01,100.0
2001-01-01,108.0
2002-01-01,120.91
2003-01-01,130.28
2004-01-01,153.5
2005-01-01,181.86
2006-01-01,204.11
2007-01-01,208.19
2008-01-01,197.3
2009-01-01,177.96
2010-01-01,167.4
2011-01-01,156.94
2012-01-01,155.69
2013-01-01,153.27
2014-01-01,155.97
2015-01-01,156.9
2016-01-01,161.56
2017-01-01,167.2
2018-01-01,174.14
2019-01-01,177.83
2020-01-01,182.09
2021-01-01,201.65
2022-01-01,225.26
2023-01-01,242.81
2024-01-01,260.56
