date,value
1992-01-01,83.59
1993-01-01,81.68
1994-01-01,80.07
1995-01-01,90.43
1996-01-01,85.11
1997-01-01,90.01
1998-01-01,89.53
1999-01-01,93.65
2000-01-01,100.0
2001-01-01,106.81
2002-01-01,112.56
2003-01-01,118.65
2004-01-01,136.1
2005-01-01,166.66
2006-01-01,189.51
2007-01-01,193.17
2008-01-01,187.65
2009-01-01,173.21
2010-01-01,156.62
2011-01-01,143.76
2012-01-01,136.87
2013-01-01,134.96
2014-01-01,137.34
2015-01-01,138.19
2016-01-01,135.56
2017-01-01,132.28
2018-01-01,141.82
2019-01-01,145.52
2020-01-01,154.53
2021-01-01,168.97
2022-01-01,201.27
2023-01-01,206.51
2024-01-01,219.59
