date,value
1970-01-01,18.924
1971-01-01,19.0
1972-01-01,18.9
1973-01-01,18.9
1974-01-01,19.1
1975-01-01,19.4
1976-01-01,19.7
1977-01-01,19.7
1978-01-01,19.4
1979-01-01,19.1
1980-01-01,19.188
1981-01-01,18.866
1982-01-01,18.874
1983-01-01,19.084
1984-01-01,19.435
1985-01-01,19.71
1986-01-01,19.991
1987-01-01,20.157
1988-01-01,22.319
1989-01-01,23.216
1990-01-01,23.469
1991-01-01,23.303
1992-01-01,23.522
1993-01-01,23.86
1994-01-01,24.426
1995-01-01,24.455
1996-01-01,24.748
1997-01-01,24.745
1998-01-01,24.647
1999-01-01,24.766
2000-01-01,24.712
2001-01-01,25.118
2002-01-01,25.359
2003-01-01,25.404
2004-01-01,25.612
2005-01-01,25.546
2006-01-01,25.843
2007-01-01,26.209
2008-01-01,26.123
2009-01-01,26.048
2010-01-01,26.464
2011-01-01,26.268
2012-01-01,26.044
2013-01-01,25.968
2014-01-01,25.581
2015-01-01,25.705
2016-01-01,25.873
2017-01-01,25.922
2018-01-01,25.637
2019-01-01,25.609
2020-01-01,24.567
2021-01-01,24.563
2022-01-01,24.696
2023-01-01,25.044
2024-01-01,25.241
