date,value
1989-01-01,7.7
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,8.9
1994-01-01,
1995-01-01,8.7
1996-01-01,
1997-01-01,8.8
1998-01-01,8.0
1999-01-01,7.4
2000-01-01,7.4
2001-01-01,6.8
2002-01-01,7.0
2003-01-01,7.4
2004-01-01,7.7
2005-01-01,8.0
2006-01-01,7.5
2007-01-01,7.7
2008-01-01,7.4
2009-01-01,8.5
2010-01-01,7.5
2011-01-01,8.6
2012-01-01,8.4
2013-01-01,8.2
2014-01-01,8.6
2015-01-01,8.7
2016-01-01,9.1
2017-01-01,8.5
2018-01-01,8.0
2019-01-01,7.7
2020-01-01,7.3
2021-01-01,7.8
2022-01-01,8.0
2023-01-01,8.4
