date,value
1990-01-01,754.0
1991-01-01,796.0
1992-01-01,755.0
1993-01-01,580.0
1994-01-01,645.0
1995-01-01,720.0
1996-01-01,844.0
1997-01-01,872.0
1998-01-01,1066.0
1999-01-01,707.0
2000-01-01,1163.0
2001-01-01,549.0
2002-01-01,914.0
2003-01-01,1094.0
2004-01-01,1384.0
2005-01-01,993.0
2006-01-01,759.0
2007-01-01,939.0
2008-01-01,555.0
2009-01-01,469.0
2010-01-01,413.0
2011-01-01,784.0
2012-01-01,605.0
2013-01-01,405.0
2014-01-01,457.0
2015-01-01,641.0
2016-01-01,698.0
2017-01-01,1164.0
2018-01-01,931.0
2019-01-01,689.0
2020-01-01,555.0
2021-01-01,359.0
2022-01-01,238.0
2023-01-01,386.0
2024-01-01,265.0
