date,value
1970-01-01,47.388
1971-01-01,50.1
1972-01-01,50.8
1973-01-01,49.9
1974-01-01,51.7
1975-01-01,52.7
1976-01-01,53.7
1977-01-01,54.5
1978-01-01,56.7
1979-01-01,58.5
1980-01-01,59.895
1981-01-01,61.182
1982-01-01,61.697
1983-01-01,62.45
1984-01-01,63.245
1985-01-01,64.618
1986-01-01,66.57
1987-01-01,69.083
1988-01-01,71.785
1989-01-01,74.13
1990-01-01,76.361
1991-01-01,77.952
1992-01-01,78.815
1993-01-01,77.994
1994-01-01,78.737
1995-01-01,79.222
1996-01-01,80.633
1997-01-01,83.165
1998-01-01,84.967
1999-01-01,85.627
2000-01-01,86.508
2001-01-01,87.417
2002-01-01,89.724
2003-01-01,92.154
2004-01-01,94.606
2005-01-01,96.519
2006-01-01,98.315
2007-01-01,100.005
2008-01-01,101.258
2009-01-01,102.57
2010-01-01,105.772
2011-01-01,107.589
2012-01-01,108.847
2013-01-01,109.284
2014-01-01,109.998
2015-01-01,111.092
2016-01-01,111.886
2017-01-01,112.627
2018-01-01,112.948
2019-01-01,113.764
2020-01-01,114.006
2021-01-01,114.674
2022-01-01,115.001
2023-01-01,115.479
2024-01-01,116.469
