date,value
1985-01-01,57.7
1986-01-01,56.17
1987-01-01,59.26
1988-01-01,70.28
1989-01-01,73.85
1990-01-01,75.61
1991-01-01,76.32
1992-01-01,78.16
1993-01-01,79.48
1994-01-01,80.36
1995-01-01,82.3
1996-01-01,83.18
1997-01-01,86.13
1998-01-01,88.09
1999-01-01,92.21
2000-01-01,100.0
2001-01-01,107.65
2002-01-01,117.63
2003-01-01,124.55
2004-01-01,144.23
2005-01-01,176.51
2006-01-01,196.72
2007-01-01,199.1
2008-01-01,192.0
2009-01-01,179.94
2010-01-01,162.71
2011-01-01,154.45
2012-01-01,150.77
2013-01-01,147.78
2014-01-01,148.79
2015-01-01,154.05
2016-01-01,153.28
2017-01-01,160.71
2018-01-01,164.04
2019-01-01,169.04
2020-01-01,172.97
2021-01-01,189.9
2022-01-01,218.77
2023-01-01,231.78
2024-01-01,245.39
