date,value
1970-01-01,23.682
1971-01-01,23.8
1972-01-01,24.3
1973-01-01,24.7
1974-01-01,24.7
1975-01-01,25.1
1976-01-01,25.2
1977-01-01,25.3
1978-01-01,25.6
1979-01-01,25.6
1980-01-01,25.604
1981-01-01,26.195
1982-01-01,26.561
1983-01-01,26.905
1984-01-01,27.265
1985-01-01,27.588
1986-01-01,28.129
1987-01-01,28.645
1988-01-01,29.326
1989-01-01,30.019
1990-01-01,30.661
1991-01-01,31.217
1992-01-01,31.329
1993-01-01,31.632
1994-01-01,32.082
1995-01-01,32.514
1996-01-01,32.578
1997-01-01,32.919
1998-01-01,33.35
1999-01-01,33.656
2000-01-01,33.868
2001-01-01,34.082
2002-01-01,34.346
2003-01-01,34.569
2004-01-01,35.204
2005-01-01,35.663
2006-01-01,36.071
2007-01-01,36.099
2008-01-01,36.096
2009-01-01,36.137
2010-01-01,37.876
2011-01-01,37.952
2012-01-01,37.995
2013-01-01,37.909
2014-01-01,37.533
2015-01-01,37.431
2016-01-01,37.17
2017-01-01,37.057
2018-01-01,37.052
2019-01-01,37.186
2020-01-01,37.522
2021-01-01,37.792
2022-01-01,37.959
2023-01-01,38.067
2024-01-01,38.244
