date,value
1989-01-01,9.2
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,10.6
1994-01-01,
1995-01-01,10.2
1996-01-01,
1997-01-01,10.1
1998-01-01,9.7
1999-01-01,8.9
2000-01-01,8.9
2001-01-01,8.6
2002-01-01,9.3
2003-01-01,9.8
2004-01-01,10.1
2005-01-01,8.6
2006-01-01,9.5
2007-01-01,10.5
2008-01-01,9.4
2009-01-01,12.4
2010-01-01,11.4
2011-01-01,11.8
2012-01-01,13.7
2013-01-01,12.0
2014-01-01,13.8
2015-01-01,12.0
2016-01-01,13.2
2017-01-01,13.3
2018-01-01,11.1
2019-01-01,12.3
2020-01-01,12.3
2021-01-01,14.5
2022-01-01,11.7
2023-01-01,11.5
