date,value
1990-01-01,628.0
1991-01-01,551.0
1992-01-01,470.0
1993-01-01,463.0
1994-01-01,706.0
1995-01-01,426.0
1996-01-01,390.0
1997-01-01,369.0
1998-01-01,688.0
1999-01-01,523.0
2000-01-01,480.0
2001-01-01,871.0
2002-01-01,841.0
2003-01-01,1068.0
2004-01-01,1000.0
2005-01-01,1003.0
2006-01-01,1082.0
2007-01-01,513.0
2008-01-01,348.0
2009-01-01,200.0
2010-01-01,146.0
2011-01-01,107.0
2012-01-01,327.0
2013-01-01,706.0
2014-01-01,168.0
2015-01-01,137.0
2016-01-01,171.0
2017-01-01,129.0
2018-01-01,187.0
2019-01-01,266.0
2020-01-01,300.0
2021-01-01,223.0
2022-01-01,406.0
2023-01-01,201.0
2024-01-01,279.0
