date,value
1970-01-01,54.236
1971-01-01,56.3
1972-01-01,56.9
1973-01-01,58.2
1974-01-01,59.7
1975-01-01,60.6
1976-01-01,61.5
1977-01-01,62.8
1978-01-01,63.5
1979-01-01,64.2
1980-01-01,64.54
1981-01-01,64.938
1982-01-01,65.414
1983-01-01,65.888
1984-01-01,66.936
1985-01-01,68.358
1986-01-01,69.706
1987-01-01,70.7
1988-01-01,71.952
1989-01-01,73.321
1990-01-01,74.743
1991-01-01,76.414
1992-01-01,77.549
1993-01-01,79.037
1994-01-01,80.121
1995-01-01,81.245
1996-01-01,81.813
1997-01-01,82.334
1998-01-01,83.103
1999-01-01,83.714
2000-01-01,84.865
2001-01-01,85.32
2002-01-01,86.035
2003-01-01,87.427
2004-01-01,88.739
2005-01-01,90.568
2006-01-01,92.307
2007-01-01,93.39
2008-01-01,93.898
2009-01-01,94.37
2010-01-01,98.974
2011-01-01,100.086
2012-01-01,100.593
2013-01-01,100.89
2014-01-01,101.416
2015-01-01,101.82
2016-01-01,102.246
2017-01-01,102.471
2018-01-01,103.398
2019-01-01,104.005
2020-01-01,103.563
2021-01-01,104.11
2022-01-01,104.985
2023-01-01,105.585
2024-01-01,106.329
