date,value
1989-01-01,10.8
1990-01-01,
1991-01-01,
1992-01-01,
1993-01-01,12.4
1994-01-01,
1995-01-01,11.7
1996-01-01,
1997-01-01,11.9
1998-01-01,10.9
1999-01-01,9.5
2000-01-01,9.3
2001-01-01,8.9
2002-01-01,9.4
2003-01-01,9.8
2004-01-01,9.9
2005-01-01,9.9
2006-01-01,9.3
2007-01-01,9.2
2008-01-01,10.5
2009-01-01,12.0
2010-01-01,10.6
2011-01-01,13.0
2012-01-01,11.1
2013-01-01,13.1
2014-01-01,11.9
2015-01-01,11.3
2016-01-01,11.4
2017-01-01,9.9
2018-01-01,10.4
2019-01-01,9.9
2020-01-01,11.7
2021-01-01,10.3
2022-01-01,8.4
2023-01-01,10.1
