date,value
1990-01-01,619.0
1991-01-01,578.0
1992-01-01,665.0
1993-01-01,535.0
1994-01-01,733.0
1995-01-01,711.0
1996-01-01,679.0
1997-01-01,653.0
1998-01-01,648.0
1999-01-01,720.0
2000-01-01,810.0
2001-01-01,854.0
2002-01-01,1148.0
2003-01-01,1018.0
2004-01-01,1225.0
2005-01-01,1121.0
2006-01-01,1071.0
2007-01-01,419.0
2008-01-01,230.0
2009-01-01,123.0
2010-01-01,93.0
2011-01-01,121.0
2012-01-01,95.0
2013-01-01,128.0
2014-01-01,200.0
2015-01-01,266.0
2016-01-01,233.0
2017-01-01,282.0
2018-01-01,239.0
2019-01-01,316.0
2020-01-01,265.0
2021-01-01,462.0
2022-01-01,304.0
2023-01-01,508.0
2024-01-01,354.0
