date,value
2003-10-01,8700.0
2004-01-01,7600.0
2004-04-01,6600.0
2004-07-01,6900.0
2004-10-01,6600.0
2005-01-01,7800.0
2005-04-01,9600.0
2005-07-01,9700.0
2005-10-01,9300.0
2006-01-01,8200.0
2006-04-01,6300.0
2006-07-01,5200.0
2006-10-01,5000.0
2007-01-01,5100.0
2007-04-01,5300.0
2007-07-01,6300.0
2007-10-01,6900.0
2008-01-01,8200.0
2008-04-01,8100.0
2008-07-01,8500.0
2008-10-01,8800.0
2009-01-01,8600.0
2009-04-01,9500.0
2009-07-01,9300.0
2009-10-01,10700.0
2010-01-01,13000.0
2010-04-01,15800.0
2010-07-01,18800.0
2010-10-01,20400.0
2011-01-01,19500.0
2011-04-01,19400.0
2011-07-01,20100.0
2011-10-01,21200.0
2012-01-01,22700.0
2012-04-01,23800.0
2012-07-01,23200.0
2012-10-01,19400.0
2013-01-01,17700.0
2013-04-01,17000.0
2013-07-01,18100.0
2013-10-01,19800.0
2014-01-01,19600.0
2014-04-01,18500.0
2014-07-01,14800.0
2014-10-01,14300.0
2015-01-01,14500.0
2015-04-01,11400.0
2015-07-01,11800.0
2015-10-01,11400.0
2016-01-01,10600.0
2016-04-01,11800.0
2016-07-01,9900.0
2016-10-01,10400.0
2017-01-01,8900.0
2017-04-01,8800.0
2017-07-01,9100.0
2017-10-01,6500.0
2018-01-01,5600.0
2018-04-01,5100.0
2018-07-01,7300.0
2018-10-01,7500.0
2019-01-01,7100.0
2019-04-01,6500.0
2019-07-01,3500.0
2019-10-01,3200.0
2020-01-01,3400.0
2020-04-01,3900.0
2020-07-01,5900.0
2020-10-01,9700.0
2021-01-01,11700.0
2021-04-01,11100.0
2021-07-01,11900.0
2021-10-01,9300.0
2022-01-01,7000.0
2022-04-01,10000.0
2022-07-01,10300.0
2022-10-01,10800.0
2023-01-01,11500.0
2023-04-01,10200.0
2023-07-01,7900.0
2023-10-01,6300.0
2024-01-01,7500.0
2024-04-01,5900.0
2024-07-01,7400.0
