date,value
1984-01-01,80080.0
1985-01-01,78560.0
1986-01-01,78490.0
1987-01-01,86750.0
1988-01-01,87440.0
1989-01-01,82540.0
1990-01-01,84920.0
1991-01-01,77930.0
1992-01-01,76510.0
1993-01-01,80150.0
1994-01-01,76980.0
1995-01-01,78740.0
1996-01-01,82230.0
1997-01-01,85430.0
1998-01-01,90300.0
1999-01-01,92340.0
2000-01-01,93240.0
2001-01-01,89510.0
2002-01-01,93160.0
2003-01-01,84630.0
2004-01-01,90120.0
2005-01-01,92820.0
2006-01-01,94900.0
2007-01-01,95380.0
2008-01-01,89320.0
2009-01-01,90350.0
2010-01-01,89150.0
2011-01-01,92760.0
2012-01-01,94910.0
2013-01-01,90530.0
2014-01-01,98030.0
2015-01-01,94790.0
2016-01-01,94170.0
2017-01-01,103000.0
2018-01-01,106000.0
2019-01-01,115800.0
2020-01-01,113700.0
2021-01-01,111700.0
2022-01-01,115400.0
2023-01-01,104600.0
2024-01-01,109700.0
